,,,
--- Table 1 ---,,,
,Linux,Package manager instructions,Arm32  |  Arm32 Alpine  |  Arm64  |  Arm64 Alpine  |  x64  |  x64 Alpine
,macOS,Arm64  |  x64,Arm64  |  x64
,Windows,x64  |  x86  |  Arm64  |  winget instructions,x64  |  x86  |  Arm64
,All,dotnet-install scripts,
,,,
--- Table 2 ---,,,
,Linux,Package manager instructions,Arm32  |  Arm32 Alpine  |  Arm64  |  Arm64 Alpine  |  x64  |  x64 Alpine
,macOS,Arm64  |  x64,Arm64  |  x64
,Windows,x64  |  x86  |  Arm64  |  winget instructions,x64  |  x86  |  Arm64
,All,dotnet-install scripts,
,,,
--- Table 3 ---,,,
,Linux,Package manager instructions,Arm32  |  Arm32 Alpine  |  Arm64  |  Arm64 Alpine  |  x64  |  x64 Alpine
,macOS,Arm64  |  x64,Arm64  |  x64
,Windows,x64  |  x86  |  Arm64  |  winget instructions,x64  |  x86  |  Arm64
,All,dotnet-install scripts,
,,,
--- Table 4 ---,,,
,Linux,Package manager instructions,Arm32  |  Arm32 Alpine  |  Arm64  |  Arm64 Alpine  |  x64  |  x64 Alpine
,macOS,,Arm64  |  x64
,Windows,x64  |  x86  |  Arm64  |  Hosting Bundle  |  winget instructions,x64  |  x86  |  Arm64
,,,
--- Table 5 ---,,,
,Windows,x64  |  x86  |  Arm64  |  winget instructions,
,,,
--- Table 6 ---,,,
,Linux,Package manager instructions,Arm32  |  Arm32 Alpine  |  Arm64  |  Arm64 Alpine  |  x64  |  x64 Alpine
,macOS,Arm64  |  x64,Arm64  |  x64
,Windows,x64  |  x86  |  Arm64  |  winget instructions,x64  |  x86  |  Arm64
,All,dotnet-install scripts,
,,,
--- Table 7 ---,,,
,Linux,Package manager instructions,Arm32  |  Arm32 Alpine  |  Arm64  |  Arm64 Alpine  |  x64  |  x64 Alpine
,macOS,Arm64  |  x64,Arm64  |  x64
,Windows,x64  |  x86  |  Arm64  |  winget instructions,x64  |  x86  |  Arm64
,All,dotnet-install scripts,
,,,
--- Table 8 ---,,,
,Linux,Package manager instructions,Arm32  |  Arm32 Alpine  |  Arm64  |  Arm64 Alpine  |  x64  |  x64 Alpine
,macOS,Arm64  |  x64,Arm64  |  x64
,Windows,x64  |  x86  |  Arm64  |  winget instructions,x64  |  x86  |  Arm64
,All,dotnet-install scripts,
,,,
--- Table 9 ---,,,
,Linux,Package manager instructions,Arm32  |  Arm32 Alpine  |  Arm64  |  Arm64 Alpine  |  x64  |  x64 Alpine
,macOS,Arm64  |  x64,Arm64  |  x64
,Windows,x64  |  x86  |  Arm64  |  winget instructions,x64  |  x86  |  Arm64
,All,dotnet-install scripts,
,,,
--- Table 10 ---,,,
,Linux,Package manager instructions,Arm32  |  Arm32 Alpine  |  Arm64  |  Arm64 Alpine  |  x64  |  x64 Alpine
,macOS,,Arm64  |  x64
,Windows,x64  |  x86  |  Arm64  |  Hosting Bundle  |  winget instructions,x64  |  x86  |  Arm64
,,,
--- Table 11 ---,,,
,Windows,x64  |  x86  |  Arm64  |  winget instructions,
,,,
--- Table 12 ---,,,
,Linux,Package manager instructions,Arm32  |  Arm32 Alpine  |  Arm64  |  Arm64 Alpine  |  x64  |  x64 Alpine
,macOS,Arm64  |  x64,Arm64  |  x64
,Windows,x64  |  x86  |  Arm64  |  winget instructions,x64  |  x86  |  Arm64
,All,dotnet-install scripts,
,,,
--- Table 13 ---,,,
,Linux,Package manager instructions,Arm32  |  Arm32 Alpine  |  Arm64  |  Arm64 Alpine  |  x64  |  x64 Alpine
,macOS,Arm64  |  x64,Arm64  |  x64
,Windows,x64  |  x86  |  Arm64  |  winget instructions,x64  |  x86  |  Arm64
,All,dotnet-install scripts,
,,,
--- Table 14 ---,,,
,Linux,Package manager instructions,Arm32  |  Arm32 Alpine  |  Arm64  |  Arm64 Alpine  |  x64  |  x64 Alpine
,macOS,Arm64  |  x64,Arm64  |  x64
,Windows,x64  |  x86  |  Arm64  |  winget instructions,x64  |  x86  |  Arm64
,All,dotnet-install scripts,
,,,
--- Table 15 ---,,,
,Linux,Package manager instructions,Arm32  |  Arm32 Alpine  |  Arm64  |  Arm64 Alpine  |  x64  |  x64 Alpine
,macOS,Arm64  |  x64,Arm64  |  x64
,Windows,x64  |  x86  |  Arm64  |  winget instructions,x64  |  x86  |  Arm64
,All,dotnet-install scripts,
,,,
--- Table 16 ---,,,
,Linux,Package manager instructions,Arm32  |  Arm32 Alpine  |  Arm64  |  Arm64 Alpine  |  x64  |  x64 Alpine
,macOS,,Arm64  |  x64
,Windows,x64  |  x86  |  Arm64  |  Hosting Bundle  |  winget instructions,x64  |  x86  |  Arm64
,,,
--- Table 17 ---,,,
,Windows,x64  |  x86  |  Arm64  |  winget instructions,
,,,
--- Table 18 ---,,,
,Linux,Package manager instructions,Arm32  |  Arm32 Alpine  |  Arm64  |  Arm64 Alpine  |  x64  |  x64 Alpine
,macOS,Arm64  |  x64,Arm64  |  x64
,Windows,x64  |  x86  |  Arm64  |  winget instructions,x64  |  x86  |  Arm64
,All,dotnet-install scripts,
,,,
--- Table 19 ---,,,
