,,,,,,,,,,,,,,,
--- Table 1 ---,,,,,,,,,,,,,,,
,25H2,General Availability Channel,2025-09-30,2027-10-12,2028-10-10,,2025-09-30,26200.6584,,,,,,,
,24H2,General Availability Channel,2024-10-01,2026-10-13,2027-10-12,2025-09 D,2025-09-29,26100.6725,,,,,,,
,23H2,General Availability Channel,2023-10-31,2025-11-11,2026-11-10,2025-09 D,2025-09-23,22631.5984,,,,,,,
,22H2,General Availability Channel,2022-09-20,End of servicing,2025-10-14,2025-09 B,2025-09-09,22621.5909,,,,,,,
,,,,,,,,,,,,,,,
--- Table 2 ---,,,,,,,,,,,,,,,
,24H21,Long-Term Servicing Channel (LTSC),2024-10-01,,,2025-09 D,2025-09-29,26100.6725,2029-10-09,2034-10-10,,,,,
,,,,,,,,,,,,,,,
--- Table 3 ---,,,,,,,,,,,,,,,
,,General Availability Channel,2025-09-30,,,,,,,,,26200.6584,,,
,,,,,,,,,,,,,,,
--- Table 4 ---,,,,,,,,,,,,,,,
,,LTSC • General Availability Channel,2025-09-29,,,,,,,,2025-09 D,26100.6725,KB5065789,,
,,LTSC • General Availability Channel,2025-09-22,,,,,,,,2025-09 OOB,26100.6588,KB5068221,,
,,LTSC • General Availability Channel,2025-09-09,,,,,,,,2025-09 B,26100.6584,KB5065426,,
,,LTSC • General Availability Channel,2025-08-29,,,,,,,,2025-08 D,26100.5074,KB5064081,,
,,LTSC • General Availability Channel,2025-08-12,,,,,,,,2025-08 B,26100.4946,KB5063878,,
,,LTSC • General Availability Channel,2025-07-22,,,,,,,,2025-07 D,26100.477,KB5062660,,
,,LTSC • General Availability Channel,2025-07-13,,,,,,,,2025-07 OOB,26100.4656,KB5064489,,
,,LTSC • General Availability Channel,2025-07-08,,,,,,,,2025-07 B,26100.4652,KB5062553,,
,,LTSC • General Availability Channel,2025-06-26,,,,,,,,2025-06 D,26100.4484,KB5060829,,
,,LTSC • General Availability Channel,2025-06-11,,,,,,,,2025-06 OOB,26100.4351,KB5063060,,
,,LTSC • General Availability Channel,2025-06-10,,,,,,,,2025-06 B,26100.4349,KB5060842,,
,,LTSC • General Availability Channel,2025-05-28,,,,,,,,2025-05 D,26100.4202,KB5058499,,
,,LTSC • General Availability Channel,2025-05-27,,,,,,,,2025-05 OOB,26100.4066,KB5061977,,
,,LTSC • General Availability Channel,2025-05-13,,,,,,,,2025-05 B,26100.4061,KB5058411,,
,,LTSC • General Availability Channel,2025-04-25,,,,,,,,2025-04 D,26100.3915,KB5055627,,
,,LTSC • General Availability Channel,2025-04-08,,,,,,,,2025-04 B,26100.3775,KB5055523,,
,,LTSC • General Availability Channel,2025-03-27,,,,,,,,2025-03 D,26100.3624,KB5053656,,
,,LTSC • General Availability Channel,2025-03-11,,,,,,,,2025-03 B,26100.3476,KB5053598,,
,,LTSC • General Availability Channel,2025-02-25,,,,,,,,2025-02 D,26100.3323,KB5052093,,
,,LTSC • General Availability Channel,2025-02-11,,,,,,,,2025-02 B,26100.3194,KB5051987,,
,,LTSC • General Availability Channel,2025-01-28,,,,,,,,2025-01 D,26100.3037,KB5050094,,
,,LTSC • General Availability Channel,2025-01-14,,,,,,,,2025-01 B,26100.2894,KB5050009,,
,,LTSC • General Availability Channel,2024-12-10,,,,,,,,2024-12 B,26100.2605,KB5048667,,
,,LTSC • General Availability Channel,2024-11-21,,,,,,,,2024-11 D,26100.2454,KB5046740,,
,,LTSC • General Availability Channel,2024-11-12,,,,,,,,2024-11 B,26100.2314,KB5046617,,
,,LTSC • General Availability Channel,2024-10-24,,,,,,,,2024-10 D,26100.2161,KB5044384,,
,,LTSC • General Availability Channel,2024-10-08,,,,,,,,2024-10 B,26100.2033,KB5044284,,
,,LTSC • General Availability Channel,2024-10-01,,,,,,,,2024-10 A,26100.1742,,,
,,,,,,,,,,,,,,,
--- Table 5 ---,,,,,,,,,,,,,,,
,,General Availability Channel,2025-09-23,,,,,,,,2025-09 D,22631.5984,KB5065790,,
,,General Availability Channel,2025-09-09,,,,,,,,2025-09 B,22631.5909,KB5065431,,
,,General Availability Channel,2025-08-26,,,,,,,,2025-08 D,22631.584,KB5064080,,
,,General Availability Channel,2025-08-19,,,,,,,,2025-08 OOB,22631.5771,KB5066189,,
,,General Availability Channel,2025-08-12,,,,,,,,2025-08 B,22631.5768,KB5063875,,
,,General Availability Channel,2025-07-22,,,,,,,,2025-07 D,22631.5699,KB5062663,,
,,General Availability Channel,2025-07-08,,,,,,,,2025-07 B,22631.5624,KB5062552,,
,,General Availability Channel,2025-06-26,,,,,,,,2025-06 D,22631.5549,KB5060826,,
,,General Availability Channel,2025-06-10,,,,,,,,2025-06 B,22631.5472,KB5060999,,
,,General Availability Channel,2025-05-31,,,,,,,,2025-05 OOB,22631.5415,KB5062170,,
,,General Availability Channel,2025-05-27,,,,,,,,2025-05 D,22631.5413,KB5058502,,
,,General Availability Channel,2025-05-13,,,,,,,,2025-05 B,22631.5335,KB5058405,,
,,General Availability Channel,2025-04-22,,,,,,,,2025-04 D,22631.5262,KB5055629,,
,,General Availability Channel,2025-04-11,,,,,,,,2025-04 OOB,22631.5192,KB5058919,,
,,General Availability Channel,2025-04-08,,,,,,,,2025-04 B,22631.5189,KB5055528,,
,,General Availability Channel,2025-03-25,,,,,,,,2025-03 D,22631.5126,KB5053657,,
,,General Availability Channel,2025-03-11,,,,,,,,2025-03 B,22631.5039,KB5053602,,
,,General Availability Channel,2025-02-25,,,,,,,,2025-02 D,22631.4974,KB5052094,,
,,General Availability Channel,2025-02-11,,,,,,,,2025-02 B,22631.489,KB5051989,,
,,General Availability Channel,2025-01-29,,,,,,,,2025-01 D,22631.483,KB5050092,,
,,General Availability Channel,2025-01-14,,,,,,,,2025-01 B,22631.4751,KB5050021,,
,,General Availability Channel,2024-12-10,,,,,,,,2024-12 B,22631.4602,KB5048685,,
,,General Availability Channel,2024-11-21,,,,,,,,2024-11 D,22631.4541,KB5046732,,
,,General Availability Channel,2024-11-12,,,,,,,,2024-11 B,22631.446,KB5046633,,
,,General Availability Channel,2024-10-22,,,,,,,,2024-10 D,22631.4391,KB5044380,,
,,General Availability Channel,2024-10-08,,,,,,,,2024-10 B,22631.4317,KB5044285,,
,,General Availability Channel,2024-09-26,,,,,,,,2024-09 D,22631.4249,KB5043145,,
,,General Availability Channel,2024-09-10,,,,,,,,2024-09 B,22631.4169,KB5043076,,
,,General Availability Channel,2024-08-27,,,,,,,,2024-08 D,22631.4112,KB5041587,,
,,General Availability Channel,2024-08-13,,,,,,,,2024-08 B,22631.4037,KB5041585,,
,,General Availability Channel,2024-07-25,,,,,,,,2024-07 D,22631.3958,KB5040527,,
,,General Availability Channel,2024-07-09,,,,,,,,2024-07 B,22631.388,KB5040442,,
,,General Availability Channel,2024-06-25,,,,,,,,2024-06 D,22631.381,KB5039302,,
,,General Availability Channel,2024-06-11,,,,,,,,2024-06 B,22631.3737,KB5039212,,
,,General Availability Channel,2024-05-29,,,,,,,,2024-05 D,22631.3672,KB5037853,,
,,General Availability Channel,2024-05-14,,,,,,,,2024-05 B,22631.3593,KB5037771,,
,,General Availability Channel,2024-04-23,,,,,,,,2024-04 D,22631.3527,KB5036980,,
,,General Availability Channel,2024-04-09,,,,,,,,2024-04 B,22631.3447,KB5036893,,
,,General Availability Channel,2024-03-26,,,,,,,,2024-03 D,22631.3374,KB5035942,,
,,General Availability Channel,2024-03-12,,,,,,,,2024-03 B,22631.3296,KB5035853,,
,,General Availability Channel,2024-02-29,,,,,,,,2024-02 D,22631.3235,KB5034848,,
,,General Availability Channel,2024-02-13,,,,,,,,2024-02 B,22631.3155,KB5034765,,
,,General Availability Channel,2024-01-23,,,,,,,,2024-01 D,22631.3085,KB5034204,,
,,General Availability Channel,2024-01-09,,,,,,,,2024-01 B,22631.3007,KB5034123,,
,,General Availability Channel,2023-12-12,,,,,,,,2023-12 B,22631.2861,KB5033375,,
,,General Availability Channel,2023-12-04,,,,,,,,2023-11 D,22631.2792,KB5032288,,
,,General Availability Channel,2023-11-14,,,,,,,,2023-11 B,22631.2715,KB5032190,,
,,General Availability Channel,2023-10-31,,,,,,,,2023-10 D,22631.2506,KB5031455,,
,,General Availability Channel,2023-10-31,,,,,,,,2023-10 D,22631.2428,,,
,,,,,,,,,,,,,,,
--- Table 6 ---,,,,,,,,,,,,,,,
,,General Availability Channel,2025-09-09,,,,,,,,2025-09 B,22621.5909,KB5065431,,
,,General Availability Channel,2025-08-19,,,,,,,,2025-08 OOB,22621.5771,KB5066189,,
,,General Availability Channel,2025-08-12,,,,,,,,2025-08 B,22621.5768,KB5063875,,
,,General Availability Channel,2025-07-08,,,,,,,,2025-07 B,22621.5624,KB5062552,,
,,General Availability Channel,2025-06-26,,,,,,,,2025-06 D,22621.5549,KB5060826,,
,,General Availability Channel,2025-06-10,,,,,,,,2025-06 B,22621.5472,KB5060999,,
,,General Availability Channel,2025-05-31,,,,,,,,2025-05 OOB,22621.5415,KB5062170,,
,,General Availability Channel,2025-05-27,,,,,,,,2025-05 D,22621.5413,KB5058502,,
,,General Availability Channel,2025-05-13,,,,,,,,2025-05 B,22621.5335,KB5058405,,
,,General Availability Channel,2025-04-22,,,,,,,,2025-04 D,22621.5262,KB5055629,,
,,General Availability Channel,2025-04-11,,,,,,,,2025-04 OOB,22621.5192,KB5058919,,
,,General Availability Channel,2025-04-08,,,,,,,,2025-04 B,22621.5189,KB5055528,,
,,General Availability Channel,2025-03-25,,,,,,,,2025-03 D,22621.5126,KB5053657,,
,,General Availability Channel,2025-03-11,,,,,,,,2025-03 B,22621.5039,KB5053602,,
,,General Availability Channel,2025-02-25,,,,,,,,2025-02 D,22621.4974,KB5052094,,
,,General Availability Channel,2025-02-11,,,,,,,,2025-02 B,22621.489,KB5051989,,
,,General Availability Channel,2025-01-29,,,,,,,,2025-01 D,22621.483,KB5050092,,
,,General Availability Channel,2025-01-14,,,,,,,,2025-01 B,22621.4751,KB5050021,,
,,General Availability Channel,2024-12-10,,,,,,,,2024-12 B,22621.4602,KB5048685,,
,,General Availability Channel,2024-11-21,,,,,,,,2024-11 D,22621.4541,KB5046732,,
,,General Availability Channel,2024-11-12,,,,,,,,2024-11 B,22621.446,KB5046633,,
,,General Availability Channel,2024-10-22,,,,,,,,2024-10 D,22621.4391,KB5044380,,
,,General Availability Channel,2024-10-08,,,,,,,,2024-10 B,22621.4317,KB5044285,,
,,General Availability Channel,2024-09-26,,,,,,,,2024-09 D,22621.4249,KB5043145,,
,,General Availability Channel,2024-09-10,,,,,,,,2024-09 B,22621.4169,KB5043076,,
,,General Availability Channel,2024-08-27,,,,,,,,2024-08 D,22621.4112,KB5041587,,
,,General Availability Channel,2024-08-13,,,,,,,,2024-08 B,22621.4037,KB5041585,,
,,General Availability Channel,2024-07-25,,,,,,,,2024-07 D,22621.3958,KB5040527,,
,,General Availability Channel,2024-07-09,,,,,,,,2024-07 B,22621.388,KB5040442,,
,,General Availability Channel,2024-06-25,,,,,,,,2024-06 D,22621.381,KB5039302,,
,,General Availability Channel,2024-06-11,,,,,,,,2024-06 B,22621.3737,KB5039212,,
,,General Availability Channel,2024-05-29,,,,,,,,2024-05 D,22621.3672,KB5037853,,
,,General Availability Channel,2024-05-14,,,,,,,,2024-05 B,22621.3593,KB5037771,,
,,General Availability Channel,2024-04-23,,,,,,,,2024-04 D,22621.3527,KB5036980,,
,,General Availability Channel,2024-04-09,,,,,,,,2024-04 B,22621.3447,KB5036893,,
,,General Availability Channel,2024-03-26,,,,,,,,2024-03 D,22621.3374,KB5035942,,
,,General Availability Channel,2024-03-12,,,,,,,,2024-03 B,22621.3296,KB5035853,,
,,General Availability Channel,2024-02-29,,,,,,,,2024-02 D,22621.3235,KB5034848,,
,,General Availability Channel,2024-02-13,,,,,,,,2024-02 B,22621.3155,KB5034765,,
,,General Availability Channel,2024-01-23,,,,,,,,2024-01 D,22621.3085,KB5034204,,
,,General Availability Channel,2024-01-09,,,,,,,,2024-01 B,22621.3007,KB5034123,,
,,General Availability Channel,2023-12-12,,,,,,,,2023-12 B,22621.2861,KB5033375,,
,,General Availability Channel,2023-12-04,,,,,,,,2023-11 D,22621.2792,KB5032288,,
,,General Availability Channel,2023-11-14,,,,,,,,2023-11 B,22621.2715,KB5032190,,
,,General Availability Channel,2023-10-26,,,,,,,,2023-10 D,22621.2506,KB5031455,,
,,General Availability Channel,2023-10-10,,,,,,,,2023-10 B,22621.2428,KB5031354,,
,,General Availability Channel,2023-09-26,,,,,,,,2023-09 D,22621.2361,KB5030310,,
,,General Availability Channel,2023-09-12,,,,,,,,2023-09 B,22621.2283,KB5030219,,
,,General Availability Channel,2023-08-22,,,,,,,,2023-08 D,22621.2215,KB5029351,,
,,General Availability Channel,2023-08-08,,,,,,,,2023-08 B,22621.2134,KB5029263,,
,,General Availability Channel,2023-07-26,,,,,,,,2023-07 D,22621.207,KB5028254,,
,,General Availability Channel,2023-07-11,,,,,,,,2023-07 B,22621.1992,KB5028185,,
,,General Availability Channel,2023-06-27,,,,,,,,2023-06 D,22621.1928,KB5027303,,
,,General Availability Channel,2023-06-13,,,,,,,,2023-06 B,22621.1848,KB5027231,,
,,General Availability Channel,2023-05-24,,,,,,,,2023-05 D,22621.1778,KB5026446,,
,,General Availability Channel,2023-05-09,,,,,,,,2023-05 B,22621.1702,KB5026372,,
,,General Availability Channel,2023-04-25,,,,,,,,2023-04 D,22621.1635,KB5025305,,
,,General Availability Channel,2023-04-11,,,,,,,,2023-04 B,22621.1555,KB5025239,,
,,General Availability Channel,2023-03-28,,,,,,,,2023-03 D,22621.1485,KB5023778,,
,,General Availability Channel,2023-03-14,,,,,,,,2023-03 B,22621.1413,KB5023706,,
,,General Availability Channel,2023-02-28,,,,,,,,2023-02 D,22621.1344,KB5022913,,
,,General Availability Channel,2023-02-14,,,,,,,,2023-02 B,22621.1265,KB5022845,,
,,General Availability Channel,2023-01-26,,,,,,,,2023-01 D,22621.1194,KB5022360,,
,,General Availability Channel,2023-01-10,,,,,,,,2023-01 B,22621.1105,KB5022303,,
,,General Availability Channel,2022-12-13,,,,,,,,2022-12 B,22621.963,KB5021255,,
,,General Availability Channel,2022-11-29,,,,,,,,2022-11 D,22621.9,KB5020044,,
,,General Availability Channel,2022-11-08,,,,,,,,2022-11 B,22621.819,KB5019980,,
,,General Availability Channel,2022-10-25,,,,,,,,2022-10 D,22621.755,KB5018496,,
,,General Availability Channel,2022-10-18,,,,,,,,2022-10 OOB,22621.675,KB5019509,,
,,General Availability Channel,2022-10-11,,,,,,,,2022-10 B,22621.674,KB5018427,,
,,General Availability Channel,2022-09-30,,,,,,,,2022-09 D,22621.608,KB5017389,,
,,General Availability Channel,2022-09-27,,,,,,,,2022-09 OOB,22621.525,KB5019311,,
,,General Availability Channel,2022-09-20,,,,,,,,2022-09 C,22621.521,,,
,,,,,,,,,,,,,,,
--- Table 7 ---,,,,,,,,,,,,,,,
,,General Availability Channel,2024-10-08,,,,,,,,2024-10 B,22000.326,KB5044280,,
,,General Availability Channel,2024-09-10,,,,,,,,2024-09 B,22000.3197,KB5043067,,
,,General Availability Channel,2024-08-13,,,,,,,,2024-08 B,22000.3147,KB5041592,,
,,General Availability Channel,2024-07-09,,,,,,,,2024-07 B,22000.3079,KB5040431,,
,,General Availability Channel,2024-06-11,,,,,,,,2024-06 B,22000.3019,KB5039213,,
,,General Availability Channel,2024-05-14,,,,,,,,2024-05 B,22000.296,KB5037770,,
,,General Availability Channel,2024-04-09,,,,,,,,2024-04 B,22000.2899,KB5036894,,
,,General Availability Channel,2024-03-12,,,,,,,,2024-03 B,22000.2836,KB5035854,,
,,General Availability Channel,2024-02-13,,,,,,,,2024-02 B,22000.2777,KB5034766,,
,,General Availability Channel,2024-01-09,,,,,,,,2024-01 B,22000.2713,KB5034121,,
,,General Availability Channel,2023-12-12,,,,,,,,2023-12 B,22000.2652,KB5033369,,
,,General Availability Channel,2023-11-14,,,,,,,,2023-11 B,22000.26,KB5032192,,
